,Season End Year,League,Nº Teams,Total Stadiums Capacity,TSC_%,Average Stadiums Capacity,ASC_%,Total Attendance,TA_%,Average Attendance,AA_%,Average Capacity Ocupation,ACO_%
62,2011,Ligue 1,20,655240.0,-0.010329583025590616,32762.0,-0.010331077815369794,7992900,-0.03319474771304698,21034,-0.03318624747196175,0.642,-0.02312842361533773
63,2012,Ligue 1,20,619581.0,-0.05442128075209085,30979.0,-0.05442280691044499,7632587,-0.045079132730298184,20086,-0.04506988684986213,0.6484,0.00996884735202497
64,2013,Ligue 1,20,624483.0,0.007911798457344466,31224.0,0.007908583233803501,7505420,-0.016661061315121573,19751,-0.016678283381459713,0.6326,-0.02436767427513864
65,2014,Ligue 1,20,641528.0,0.027294578074983592,32076.0,0.027286702536510443,7172105,-0.044409906440945335,18874,-0.04440281504733934,0.5884,-0.06987037622510273
66,2015,Ligue 1,20,671500.0,0.04671970670025316,33575.0,0.04673275969572255,8441546,0.17699699042331374,22215,0.17701600084772706,0.6617,0.12457511896668927
67,2016,Ligue 1,20,636642.0,-0.051910647803425136,31832.0,-0.05191362620997764,7970815,-0.05576360064850683,20976,-0.055773126266036484,0.659,-0.0040803989723438025
68,2017,Ligue 1,20,651916.0,0.02399150543005324,32596.0,0.024001005277707987,7967227,-0.00045014217492189695,21077,0.0048150266971778155,0.6466,-0.01881638846737488
69,2018,Ligue 1,20,660215.0,0.012730167690315984,33011.0,0.012731623512087342,8559056,0.07428293432583266,22524,0.06865303411301428,0.6823,0.055211877513145824
70,2019,Ligue 1,20,651686.0,-0.012918518967306114,32584.0,-0.012935082245312146,8663784,0.01223592882205704,22799,0.0122091990765405,0.6997,0.025501978601788045
71,2020,Ligue 1,20,654863.0,0.004875047185300962,32743.0,0.004879695556101239,6270901,-0.27619375090607057,22476,-0.014167288038949066,0.6864,-0.019008146348435062
72,1997,Bundesliga,18,765533.0,,42530.0,,9449798,,30882,,0.7261,
73,1998,Bundesliga,18,811886.0,0.06054996975963145,45105.0,0.06054549729602642,10087247,0.06745636255928432,32965,0.06745029467003437,0.7309,0.006610659688748077
74,1999,Bundesliga,18,845541.0,0.04145286407204951,46975.0,0.04145881831282572,10026166,-0.00605526958941327,32765,-0.00606704080084941,0.6975,-0.04569708578464904
75,2000,Bundesliga,18,774988.0,-0.08344125240526479,43055.0,-0.08344864289515698,9549181,-0.04757401782495918,31206,-0.047581260491378015,0.7248,0.03913978494623649
76,2001,Bundesliga,18,797598.0,0.02917464528483027,44311.0,0.029171989315991187,9462110,-0.009118164165073384,30922,-0.009100813946036013,0.6978,-0.03725165562913912
77,2002,Bundesliga,18,837014.0,0.04941837868199261,46501.0,0.0494233937397035,10113007,0.06878983651637949,33049,0.06878597762111127,0.7107,0.018486672398968285
