,Year,Country,Anual GDP (M.€),Var. GDP(%),GDP Per Capita (m.€),Var. GDPxC(%),Total Debt (M.€),Var. TDebt(%),Debt (% GDP),Var. Debt (% GDP),Debt Per Capita (m.€),Var. DebtxC (%)
109,2009,Italy,1577256000000.0,-0.036907270505752265,26470.0,-0.04232995658465988,1839115000000.0,0.05786243471458485,116.6,0.09792843691148767,31071.0,0.05446955813479937
110,2010,Italy,1611279000000.0,0.0215710068625512,26930.0,0.017378163959198997,1920661000000.0,0.04433980474304211,119.2,0.022298456260720467,32354.0,0.04129252357503788
111,2011,Italy,1648756000000.0,0.023259162441762186,27450.0,0.019309320460453083,1973483000000.0,0.027501990200248683,119.7,0.004194630872483174,33227.0,0.026982753291710404
112,2012,Italy,1624359000000.0,-0.014797216810734868,26920.0,-0.01930783242258649,2054753000000.0,0.04118099826550314,126.5,0.05680868838763575,34426.0,0.03608511150570326
113,2013,Italy,1612751000000.0,-0.0071462035178183605,26590.0,-0.012258543833580935,2136226000000.0,0.03965099454776322,132.5,0.04743083003952564,35145.0,0.020885377331086863
114,2014,Italy,1627406000000.0,0.00908695762706091,26770.0,0.0067694622038361185,2202997000000.0,0.031256524356505284,135.4,0.021886792452830317,36236.0,0.03104282259211844
115,2015,Italy,1655355000000.0,0.01717395659104115,27260.0,0.018304071722077042,2239409000000.0,0.016528392912019463,135.3,-0.0007385524372229835,36914.0,0.0187106744673804
116,2016,Italy,1695787000000.0,0.02442497228691121,27970.0,0.026045487894350797,2285619000000.0,0.020634908585256184,134.8,-0.003695491500369519,37723.0,0.021915804301890773
117,2017,Italy,1736593000000.0,0.02406316359306926,28690.0,0.02574186628530573,2329553000000.0,0.019221926314053173,134.1,-0.005192878338279082,38515.0,0.020995148848182762
118,2018,Italy,1766168000000.0,0.01703047288570203,29210.0,0.01812478215406066,2380942000000.0,0.02205959684111081,134.8,0.005219985085757051,39446.0,0.024172400363494658
119,2019,Italy,1787664000000.0,0.01217098260188165,29610.0,0.013693940431359186,2409841000000.0,0.012137632920079522,134.8,0.0,40001.0,0.01406986766719065
