Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2018S003664    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700122;Longitudinal 5                                    ;133;Divendres;Dv;Laboral;2018;5;Maig;11;10;Matí;No és causa del  vianant;0;1;0;1;2;426211.45 ;4575615.47;2.117.136;41.326.796
2018S000400    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370305;A Zona Franca                                     ;26;Dimarts;Dm;Laboral;2018;1;Gener;16;14;Tarda;No és causa del  vianant;0;3;0;3;2;427679.7  ;4575490.78;2.134.694;41.325.806
2018S002757    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370305;A Zona Franca                                     ;48X       ;Dimecres;Dc;Laboral;2018;4;Abril;11;7;Matí;No és causa del  vianant;0;1;0;1;2;428023.74 ;4576183.58;2.138.722;41.332.077
2018S002039    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Número 6 Zona Franca / K                          ;111;Dimarts;Dm;Laboral;2018;3;Març;13;18;Tarda;No és causa del  vianant;0;4;0;4;2;425967.66 ;4575584.75;2.114.227;41.326.497
2018S001575    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Número 6 Zona Franca                              ;99;Dimarts;Dm;Laboral;2018;2;Febrer;27;13;Matí;Altres;0;0;0;0;2;425967.66 ;4575584.75;2.114.227;41.326.497
2018S007752    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Número 6 Zona Franca                              ;114;Dijous;Dj;Laboral;2018;10;Octubre;11;13;Matí;No és causa del  vianant;0;1;0;1;2;426248.36 ;4575442.59;2.117.598;41.325.242
2018S004702    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;Número 4 Zona Franca                              ;30;Dimarts;Dm;Laboral;2018;6;Juny;19;18;Tarda;No és causa del  vianant;0;1;0;1;2;428436.19 ;4576587.37;2.143.603;4.133.575
2018S006754    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;A Zona Franca / Número 4 Zona Franca              ;;Dijous;Dj;Laboral;2018;9;Setembre;6;13;Matí;No és causa del  vianant;0;2;0;2;2;427786.24 ;4575792.95;2.135.931;41.328.537
2018S008519    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701491;Longitudinal 1                                    ;92;Dimecres;Dc;Laboral;2018;11;Novembre;7;10;Matí;No és causa del  vianant;0;1;0;1;3;426106.61 ;4575908.76;2.115.847;41.329.428
2018S000793    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701491;Transversal 11                                    ;23;Dimarts;Dm;Laboral;2018;1;Gener;30;6;Matí;No és causa del  vianant;0;1;0;1;2;426117.87 ;4575809.96;2.115.994;41.328.539
2018S003243    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;A Zona Franca                                     ;27;Divendres;Dv;Laboral;2018;4;Abril;27;5;Nit;No és causa del  vianant;0;2;0;2;2;427801.81 ;4575859.88;2.136.109;41.329.141
2018S001279    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;A Zona Franca / Número 4 Zona Franca              ;;Divendres;Dv;Laboral;2018;2;Febrer;16;14;Tarda;No és causa del  vianant;0;1;0;1;2;427786.24 ;4575792.95;2.135.931;41.328.537
2018S000395    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Transversal 11 / Major de Mercabarna              ;;Dimarts;Dm;Laboral;2018;1;Gener;16;9;Matí;No és causa del  vianant;0;1;0;1;1;425964.47 ;4575862.85;2.114.155;41.329.001
2018S005123    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701481;Longitudinal 9                                    ;66;Dimarts;Dm;Laboral;2018;7;Juliol;3;15;Tarda;Creuar per fora pas de vianants;0;0;1;1;1;426521.08 ;4575873.55;2.120.804;41.329.149
2018S008405    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701489;Transversal 9 / C. Longitudinal  5                ;0;Divendres;Dv;Laboral;2018;11;Novembre;2;16;Tarda;Transitar a peu per la calçada;0;1;0;1;2;426294.5  ;4575933.62;2.118.089;41.329.669
2018S009354    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701489;Transversal 9                                     ;47;Divendres;Dv;Laboral;2018;12;Desembre;7;11;Matí;No és causa del  vianant;0;1;0;1;2;426245.77 ;4575973.97;2.117.502;41.330.028
2018S002103    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;96780;Número 3 Zona Franca / D Zona Franca              ;;Divendres;Dv;Laboral;2018;3;Març;16;7;Matí;No és causa del  vianant;0;1;0;1;2;427468.98 ;4576549.07;2.132.049;41.335.319
2018S008852    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701489;Transversal 9                                     ;62;Dimarts;Dm;Laboral;2018;10;Octubre;9;13;Matí;No és causa del  vianant;0;1;0;1;1;426542.65 ;4575799.24;2.121.071;41.328.481
2018S001791    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701489;Transversal 9                                     ;47;Dilluns;Dl;Laboral;2018;3;Març;5;11;Matí;No és causa del  vianant;0;1;0;1;1;426245.77 ;4575973.97;2.117.502;41.330.028
2018S003228    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701489;Transversal 9 / Longitudinal 3                    ;15;Dijous;Dj;Laboral;2018;4;Abril;26;13;Matí;No és causa del  vianant;0;1;0;1;1;426245.77 ;4575973.97;2.117.502;41.330.028
2018S003596    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700122;Longitudinal 5                                    ;63;Dilluns;Dl;Laboral;2018;5;Maig;7;23;Nit;No és causa del  vianant;0;0;0;0;2;426383.97 ;4576024.95;2.119.147;413.305
2018S009892    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;175478;k                                                 ;10;Divendres;Dv;Laboral;2018;12;Desembre;28;7;Matí;No és causa del  vianant;0;1;0;1;2;425733.78 ;4576045.61;2.111.376;41.330.626
2018S006087    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Transversal 9 / Major de Mercabarna               ;0;Dilluns;Dl;Laboral;2018;8;Agost;6;17;Tarda;No és causa del  vianant;0;3;0;3;2;426294.5  ;4575933.62;2.118.089;41.329.669
2018S003469    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701487;Transversal 7                                     ;29;Divendres;Dv;Laboral;2018;5;Maig;4;9;Matí;No és causa del  vianant;0;1;0;1;2;426225.57 ;4576074.16;2.117.249;41.330.928
2018S002540    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;700127;Major de Mercabarna / Transversal 7               ;;Dimarts;Dm;Laboral;2018;4;Abril;3;18;Tarda;No és causa del  vianant;0;2;0;2;2;426087.9  ;4576123.42;2.115.598;41.331.359
2018S007299    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370305;Número 4 Zona Franca                              ;74;Divendres;Dv;Laboral;2018;9;Setembre;28;15;Tarda;No és causa del  vianant;0;2;0;2;4;427166.85 ;4576111.49;2.128.492;4.133.135
2018S009260    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;701487;Major de Mercabarna / Transversal 7               ;1;Dimarts;Dm;Laboral;2018;12;Desembre;4;8;Matí;No és causa del  vianant;0;2;0;2;2;426260.76 ;4576461.7 ;2.117.622;41.334.422
2018S005324    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;96780;Número 4 Zona Franca / D Zona Franca              ;;Dimarts;Dm;Laboral;2018;7;Juliol;10;9;Matí;No és causa del  vianant;0;1;0;1;2;427235.32 ;4576058.18;2.129.316;41.330.876
2018S008253    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;370305;Número 4 Zona Franca / E Zona Franca              ;;Dilluns;Dl;Laboral;2018;10;Octubre;29;15;Tarda;No és causa del  vianant;0;1;0;1;1;427033.56 ;4576155.26;2.126.894;41.331.732
2018S002003    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;A Zona Franca / Número 3 Zona Franca              ;;Dilluns;Dl;Laboral;2018;3;Març;12;14;Tarda;No és causa del  vianant;0;1;0;1;2;428020.43 ;4576283.26;2.138.671;41.332.974
2018S007397    ;3;Sants-Montjuïc;12;la Marina del Prat Vermell;180;A Zona Franca / Número 3 Zona Franca              ;;Dimarts;Dm;Laboral;2018;10;Octubre;2;6;Matí;No és causa del  vianant;0;0;0;0;3;428020.43 ;4576283.26;2.138.671;41.332.974
