"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 25, 2018","234.53","239.73","240.33","231.98","3.61M","-2.99%"
"Jun 22, 2018","241.77","247.90","248.14","241.50","2.69M","-2.01%"
"Jun 21, 2018","246.72","251.51","251.80","245.65","3.67M","-1.87%"
"Jun 20, 2018","251.43","257.31","257.31","251.09","3.91M","-2.69%"
"Jun 19, 2018","258.39","261.43","261.51","254.75","3.16M","-2.00%"
"Jun 18, 2018","263.67","263.09","264.65","261.58","1.40M","-0.34%"
"Jun 15, 2018","264.56","262.51","264.99","260.84","1.36M","0.41%"
"Jun 14, 2018","263.48","264.00","264.08","261.36","1.02M","0.21%"
"Jun 13, 2018","262.92","265.97","266.03","262.34","1.15M","-0.98%"
"Jun 12, 2018","265.53","263.59","266.67","263.19","1.78M","1.36%"
"Jun 11, 2018","261.97","260.14","263.42","260.14","1.42M","0.70%"
"Jun 08, 2018","260.15","256.97","260.41","256.75","1.22M","1.13%"
"Jun 07, 2018","257.25","257.30","260.62","254.97","1.76M","0.27%"
"Jun 06, 2018","256.55","253.93","256.74","251.51","1.10M","1.81%"
"Jun 05, 2018","252.00","251.56","252.75","249.75","953.95K","0.05%"
"Jun 04, 2018","251.88","254.71","256.50","251.64","919.31K","-0.68%"
"Jun 01, 2018","253.60","251.57","254.80","251.10","1.17M","1.80%"
"May 31, 2018","249.12","253.55","253.55","248.80","1.30M","-1.56%"
"May 30, 2018","253.08","248.73","254.19","248.60","1.20M","2.21%"
"May 29, 2018","247.61","250.23","251.46","246.31","1.16M","-1.55%"
"May 25, 2018","251.50","250.86","253.18","250.86","841.20K","-0.10%"
"May 24, 2018","251.74","250.18","252.01","248.50","1.50M","0.51%"
"May 23, 2018","250.47","252.02","252.02","248.62","1.11M","-0.84%"
"May 22, 2018","252.59","255.15","256.30","252.35","1.01M","-0.81%"
"May 21, 2018","254.66","251.00","254.94","250.68","1.38M","2.09%"
"May 18, 2018","249.45","247.88","249.73","246.71","1.20M","0.40%"
"May 17, 2018","248.46","247.69","250.23","247.28","1.08M","0.54%"
"May 16, 2018","247.12","247.78","248.72","246.54","1.10M","-0.09%"
