"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 13, 2018","68.25","69.27","69.33","68.08","7.21M","-1.10%"
"Mar 12, 2018","69.01","69.27","69.56","68.77","4.75M","-0.38%"
"Mar 09, 2018","69.27","68.77","69.37","68.23","5.80M","1.33%"
"Mar 08, 2018","68.36","67.85","69.36","67.85","8.37M","1.26%"
"Mar 07, 2018","67.51","66.96","67.89","66.54","6.79M","-0.21%"
"Mar 06, 2018","67.65","68.38","68.47","67.06","8.84M","-0.97%"
"Mar 05, 2018","68.31","67.50","68.60","66.99","7.75M","1.26%"
"Mar 02, 2018","67.46","67.11","67.61","66.63","10.61M","0.46%"
"Mar 01, 2018","67.15","67.70","68.53","66.76","9.56M","-0.86%"
"Feb 28, 2018","67.73","68.37","68.69","67.61","10.80M","-0.76%"
"Feb 27, 2018","68.25","69.30","69.66","68.12","7.39M","0.03%"
"Feb 26, 2018","68.23","68.20","68.47","67.57","7.84M","0.10%"
"Feb 23, 2018","68.16","68.51","68.78","67.42","5.80M","0.24%"
"Feb 22, 2018","68.00","68.96","69.14","67.56","10.06M","-1.11%"
"Feb 21, 2018","68.76","70.59","70.90","68.72","10.62M","-2.69%"
"Feb 20, 2018","70.66","71.25","71.45","69.73","6.42M","-1.72%"
"Feb 16, 2018","71.90","70.37","72.21","70.32","6.47M","2.00%"
"Feb 15, 2018","70.49","70.59","70.94","69.09","6.77M","1.00%"
"Feb 14, 2018","69.79","69.66","70.22","69.56","6.58M","-0.46%"
"Feb 13, 2018","70.11","69.71","71.22","69.60","8.80M","0.34%"
"Feb 12, 2018","69.87","70.09","70.64","69.50","8.94M","0.69%"
"Feb 09, 2018","69.39","71.01","71.35","67.31","16.72M","-1.64%"
"Feb 08, 2018","70.55","74.00","75.34","70.50","11.73M","-5.11%"
"Feb 07, 2018","74.35","73.84","75.56","73.57","9.61M","0.45%"
"Feb 06, 2018","74.02","72.50","74.64","71.77","11.24M","0.95%"
"Feb 05, 2018","73.32","75.31","76.40","73.29","12.20M","-4.09%"
"Feb 02, 2018","76.45","78.36","78.54","75.58","10.40M","-2.97%"
"Feb 01, 2018","78.79","78.30","79.20","77.60","9.15M","0.13%"
"Jan 31, 2018","78.69","80.60","81.27","78.04","12.47M","-1.87%"
"Jan 30, 2018","80.19","78.49","80.94","78.18","16.52M","-4.11%"
"Jan 29, 2018","83.63","82.00","83.88","81.75","8.37M","1.98%"
"Jan 26, 2018","82.01","81.64","82.01","80.92","5.88M","0.53%"
"Jan 25, 2018","81.58","81.30","81.99","80.76","6.36M","0.82%"
"Jan 24, 2018","80.92","80.76","81.19","80.35","7.31M","0.60%"
"Jan 23, 2018","80.44","80.48","80.70","79.70","5.78M","-0.63%"
"Jan 22, 2018","80.95","80.09","80.98","79.93","7.02M","1.36%"
"Jan 19, 2018","79.86","79.58","80.04","79.11","7.96M","0.64%"
"Jan 18, 2018","79.35","79.92","80.69","79.26","8.07M","-0.19%"
"Jan 17, 2018","79.50","79.60","79.97","78.93","7.45M","0.08%"
"Jan 16, 2018","79.44","78.83","80.15","78.83","8.44M","0.84%"
"Jan 12, 2018","78.78","78.92","79.68","78.51","7.10M","-0.30%"
"Jan 11, 2018","79.02","78.01","79.06","77.68","7.16M","2.04%"
"Jan 10, 2018","77.44","77.16","77.63","76.60","8.77M","-0.32%"
"Jan 09, 2018","77.69","77.98","78.33","77.44","7.78M","-0.10%"
"Jan 08, 2018","77.77","78.32","78.78","77.15","9.59M","-0.87%"
"Jan 05, 2018","78.45","76.31","78.56","76.14","15.34M","4.42%"
"Jan 04, 2018","75.13","75.19","76.67","74.68","13.72M","2.64%"
"Jan 03, 2018","73.20","73.73","73.90","73.06","6.14M","-0.44%"
"Jan 02, 2018","73.52","73.06","74.03","72.87","5.88M","1.41%"
