Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;Dia_setmana;Descripcio_tipus_dia;Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_situacio;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2017S002198    ;2;Eixample;6;la Sagrada Família;308607;Sant Pau;0011B0011B;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;21;No és causa del  vianant;Motocicleta;Home;44;Conductor;Presentado;Ferit lleu;431178,06;4584939,01;2.175.419;4.141.121
2017S002198    ;2;Eixample;6;la Sagrada Família;308607;Sant Pau;0011B0011B;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;21;No és causa del  vianant;Motocicleta;Home;50;Conductor;Presentado;Ferit lleu;431178,06;4584939,01;2.175.419;4.141.121
2017S002199    ;4;Les Corts;19;les Corts;265800;Prat d'en Rull;0005 0005;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;21;No és causa del  vianant;Motocicleta;Dona;29;Passatger;Desconegut;Ferit lleu;427965,75;4582463,24;2.137.274;41.388.628
2017S002199    ;4;Les Corts;19;les Corts;265800;Prat d'en Rull;0005 0005;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;21;No és causa del  vianant;Motocicleta;Home;31;Conductor;Presentado;Ferit lleu;427965,75;4582463,24;2.137.274;41.388.628
2017S002200    ;2;Eixample;5;el Fort Pienc;76807;Sardenya;0193 0193;Dissabte;Ds;Laboral;2017;3;Març;18;Tarda;21;No és causa del  vianant;Furgoneta;Dona;29;Vianant;Desconegut;Ferit lleu;431581,77;4583457,02;2.180.408;41.397.897
2017S002201    ;7;Horta-Guinardó;43;Horta;259501;Plana;0027 0027;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;16;No és causa del  vianant;Turismo;Dona;16;Passatger;Desconegut;Ferit lleu;429631,7;4587122,06;2.156.656;41.430.737
2017S002201    ;7;Horta-Guinardó;43;Horta;259501;Plana;0027 0027;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;16;No és causa del  vianant;Turismo;Home;13;Passatger;Desconegut;Ferit lleu;429631,7;4587122,06;2.156.656;41.430.737
2017S002201    ;7;Horta-Guinardó;43;Horta;259501;Plana;0027 0027;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;16;No és causa del  vianant;Turismo;Home;43;Passatger;Desconegut;Ferit lleu;429631,7;4587122,06;2.156.656;41.430.737
2017S002201    ;7;Horta-Guinardó;43;Horta;259501;Plana;0027 0027;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;16;No és causa del  vianant;Turismo;Home;49;Conductor;Presentado;Ferit lleu;429631,7;4587122,06;2.156.656;41.430.737
2017S002201    ;7;Horta-Guinardó;43;Horta;259501;Plana;0027 0027;Diumenge;Dg;Laboral;2017;3;Març;19;Tarda;16;No és causa del  vianant;Turismo;Home;9;Passatger;Desconegut;Ferit lleu;429631,7;4587122,06;2.156.656;41.430.737
