dates,prices
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"July 30, 2019",505
"July 30, 2019",803
"July 29, 2019",825
"July 29, 2019",670
"July 29, 2019",670
"July 28, 2019",920
"July 27, 2019",550
"July 27, 2019",685
"July 27, 2019",635
"July 27, 2019",628
"August 2, 2019",880
"August 2, 2019",890
"August 2, 2019",520
"August 1, 2019",830
"August 1, 2019",720
"August 1, 2019",690
"August 1, 2019",825
"August 1, 2019",803
"July 30, 2019",688
"July 30, 2019",775
"July 30, 2019",505
