"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Usat. Milers d'euros",288.1
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Usat. Milers d'euros",608
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Usat. Milers d'euros",568.3
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Usat. Milers d'euros",647.5
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Usat. Milers d'euros",626.3
2018,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Usat. Milers d'euros",514.6
2018,1,6,"Gràcia",28,"Vallcarca i els Penitents","Usat. Milers d'euros",231.2
2018,1,6,"Gràcia",29,"el Coll","Usat. Milers d'euros",103.8
2018,1,6,"Gràcia",30,"la Salut","Usat. Milers d'euros",283.1
2018,1,6,"Gràcia",31,"la Vila de Gràcia","Usat. Milers d'euros",345.9
2018,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Usat. Milers d'euros",360.2
2018,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Usat. Milers d'euros",275.1
2018,1,7,"Horta-Guinardó",34,"Can Baró","Usat. Milers d'euros",163.4
2018,1,7,"Horta-Guinardó",35,"el Guinardó","Usat. Milers d'euros",260.6
2018,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Usat. Milers d'euros",274.5
2018,1,7,"Horta-Guinardó",37,"el Carmel","Usat. Milers d'euros",147.3
2018,1,7,"Horta-Guinardó",38,"la Teixonera","Usat. Milers d'euros",155.5
2018,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Usat. Milers d'euros",165.8
2018,1,7,"Horta-Guinardó",40,"Montbau","Usat. Milers d'euros",150
2018,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Usat. Milers d'euros",220.8
2018,1,7,"Horta-Guinardó",42,"la Clota","Usat. Milers d'euros",NA
2018,1,7,"Horta-Guinardó",43,"Horta","Usat. Milers d'euros",248.3
2018,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Usat. Milers d'euros",216.9
2018,1,8,"Nou Barris",45,"Porta","Usat. Milers d'euros",156.5
2018,1,8,"Nou Barris",46,"el Turó de la Peira","Usat. Milers d'euros",119.9
2018,1,8,"Nou Barris",47,"Can Peguera","Usat. Milers d'euros",NA
2018,1,8,"Nou Barris",48,"la Guineueta","Usat. Milers d'euros",163
2018,1,8,"Nou Barris",49,"Canyelles","Usat. Milers d'euros",170.5
2018,1,8,"Nou Barris",50,"les Roquetes","Usat. Milers d'euros",115.8
2018,1,8,"Nou Barris",51,"Verdun","Usat. Milers d'euros",96.8
2018,1,8,"Nou Barris",52,"la Prosperitat","Usat. Milers d'euros",145.9
2018,1,8,"Nou Barris",53,"la Trinitat Nova","Usat. Milers d'euros",93
2018,1,8,"Nou Barris",54,"Torre Baró","Usat. Milers d'euros",NA
2018,1,8,"Nou Barris",55,"Ciutat Meridiana","Usat. Milers d'euros",88.9
2018,1,8,"Nou Barris",56,"Vallbona","Usat. Milers d'euros",NA
2018,1,9,"Sant Andreu",57,"la Trinitat Vella","Usat. Milers d'euros",120.9
2018,1,9,"Sant Andreu",58,"Baró de Viver","Usat. Milers d'euros",NA
2018,1,9,"Sant Andreu",59,"el Bon Pastor","Usat. Milers d'euros",170.5
2018,1,9,"Sant Andreu",60,"Sant Andreu","Usat. Milers d'euros",213.2
2018,1,9,"Sant Andreu",61,"la Sagrera","Usat. Milers d'euros",263.9
2018,1,9,"Sant Andreu",62,"el Congrés i els Indians","Usat. Milers d'euros",158.4
2018,1,9,"Sant Andreu",63,"Navas","Usat. Milers d'euros",336.7
2018,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Usat. Milers d'euros",317.7
2018,1,10,"Sant Martí",65,"el Clot","Usat. Milers d'euros",283.5
2018,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Usat. Milers d'euros",307.4
2018,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Usat. Milers d'euros",483.3
2018,1,10,"Sant Martí",68,"el Poblenou","Usat. Milers d'euros",304.1
2018,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Usat. Milers d'euros",509.7
2018,1,10,"Sant Martí",70,"el Besòs i el Maresme","Usat. Milers d'euros",236.9
2018,1,10,"Sant Martí",71,"Provençals del Poblenou","Usat. Milers d'euros",251.3
2018,1,10,"Sant Martí",72,"Sant Martí de Provençals","Usat. Milers d'euros",270.3
2018,1,10,"Sant Martí",73,"la Verneda i la Pau","Usat. Milers d'euros",153.2
2018,1,1,"Ciutat Vella",1,"el Raval","Total. Euros/m2 construït",3534.3
2018,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Euros/m2 construït",5909.5
2018,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Euros/m2 construït",4623.1
2018,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Euros/m2 construït",5791.8
2018,1,2,"Eixample",5,"el Fort Pienc","Total. Euros/m2 construït",4712
2018,1,2,"Eixample",6,"la Sagrada Família","Total. Euros/m2 construït",3581.4
2018,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Euros/m2 construït",4387.9
2018,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Euros/m2 construït",4171.5
2018,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Euros/m2 construït",4205.2
2018,1,2,"Eixample",10,"Sant Antoni","Total. Euros/m2 construït",4526.6
2018,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Euros/m2 construït",3709.9
2018,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Euros/m2 construït",NA
2018,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Euros/m2 construït",2343.3
2018,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Euros/m2 construït",3382.6
2018,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Euros/m2 construït",2871.7
2018,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Euros/m2 construït",2202.9
2018,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Euros/m2 construït",2933.2
2018,1,3,"Sants-Montjuïc",18,"Sants","Total. Euros/m2 construït",3066
2018,1,4,"Les Corts",19,"les Corts","Total. Euros/m2 construït",3892.1
2018,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Euros/m2 construït",3999.2
2018,1,4,"Les Corts",21,"Pedralbes","Total. Euros/m2 construït",6939.4
2018,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Euros/m2 construït",3533.7
2018,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Euros/m2 construït",4846.3
2018,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Euros/m2 construït",5460.5
2018,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Euros/m2 construït",5206
2018,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Euros/m2 construït",4936.4
