,brand,model,price
548,Dior ,B23 High Canvas Safari ,736
549,adidas ,Yeezy Boost 350 Oxford ,736
550,Prada ,Cloudbust Thunder Knit ,736
551,Balenciaga ,Triple S Triple Black ,734
552,Nike ,Air Force 1 Low 1World ,734
553,Jordan ,7 Retro Premio Bin ,733
554,Balenciaga ,Triple S Clear Sole ,733
555,adidas ,Futurecraft 4D Ash ,732
556,adidas ,YZY QNTM BSKTBL Performance Basketball ,732
557,Jordan ,5 Retro ,732
558,Jordan ,6 Retro ,732
559,Nike ,Dunk SB Mid Mama ,731
560,Balenciaga ,Triple S Cream Yellow Red 2019 ,730
561,Nike ,Dunk High ,730
562,Nike ,SB Dunk High Thomas Campbell What the Dunk Special ,730
563,Jordan ,Defining Moments Pack ,729
564,Nike ,Dunk SB High Jason ,729
565,Versace ,Chain Reaction 2 Chainz ,727
566,Jordan ,XXXIV Brotherhood ,727
567,Nike ,LeBron 17 SVSM White ,727
568,Nike ,Air Presto Off-White Black ,726
569,adidas ,Yeezy Boost 350 Pirate Black ,726
570,Balenciaga ,Triple S Clearsole Fluo ,725
571,Diadora ,N9000 LimitEDition ,723
572,Reebok ,Alien Stomper ,722
573,Prada ,Cloudbust Black ,720
574,Louis Vuitton ,Run Away Supreme Black ,720
575,adidas ,Futurecraft 4D ,720
576,Nike ,Air Max 97 LX Swarovski Silver Bullet ,720
577,Dior ,B22 Yellow ,719
578,Balenciaga ,Track Trainer ,719
579,Dior ,B23 Low Top Canvas Oblique ,718
580,Balenciaga ,Track Trainers Purple ,717
581,Balenciaga ,Track Trainer Lime ,717
582,Nike ,SB Dunk Low Shanghai ,716
583,Nike ,Air Max 1 Atmos Elephant ,713
584,Nike ,Air Force 1 Low Lux ,713
585,Nike ,Kobe 7 Opening ,712
586,Rhude ,V2 Low Pastel ,712
587,Nike ,SB Dunk High Black Sheep Paid In Full Special ,712
588,Dior ,B23 Low Top Daniel Asham ,711
589,Dior ,B23 High Top Canvas Oblique ,711
590,Jordan ,2 Retro Premio Bin ,711
591,Gucci ,Off The Grid High Top Orange ,710
