,dates,prices
503,"April 8, 2020","$2,500"
504,"April 8, 2020","$2,150"
505,"April 6, 2020","$2,000"
506,"April 5, 2020","$2,170"
507,"March 29, 2020","$2,380"
508,"March 26, 2020","$1,690"
509,"March 24, 2020","$2,008"
510,"April 21, 2020","$1,875"
511,"April 21, 2020","$2,487"
512,"April 18, 2020","$1,750"
513,"April 17, 2020","$2,200"
514,"April 16, 2020","$2,098"
515,"April 15, 2020","$2,330"
516,"April 13, 2020","$1,800"
517,"April 11, 2020","$2,301"
518,"April 10, 2020","$1,980"
519,"April 10, 2020","$2,265"
520,"April 21, 2020","$1,875"
521,"April 21, 2020","$2,487"
522,"April 18, 2020","$1,750"
523,"April 17, 2020","$2,200"
524,"April 16, 2020","$2,098"
525,"April 15, 2020","$2,330"
526,"April 13, 2020","$1,800"
527,"April 11, 2020","$2,301"
528,"April 10, 2020","$1,980"
529,"April 10, 2020","$2,265"
530,"April 21, 2020","$1,875"
531,"April 21, 2020","$2,487"
532,"April 18, 2020","$1,750"
533,"April 17, 2020","$2,200"
534,"April 16, 2020","$2,098"
535,"April 15, 2020","$2,330"
536,"April 13, 2020","$1,800"
537,"April 11, 2020","$2,301"
538,"April 10, 2020","$1,980"
539,"April 10, 2020","$2,265"
540,"April 21, 2020","$1,875"
541,"April 21, 2020","$2,487"
542,"April 18, 2020","$1,750"
543,"April 17, 2020","$2,200"
544,"April 16, 2020","$2,098"
545,"April 15, 2020","$2,330"
546,"April 13, 2020","$1,800"
547,"April 11, 2020","$2,301"
548,"April 10, 2020","$1,980"
549,"April 10, 2020","$2,265"
550,"April 21, 2020","$1,875"
551,"April 21, 2020","$2,487"
552,"April 18, 2020","$1,750"
553,"April 17, 2020","$2,200"
554,"April 16, 2020","$2,098"
555,"April 15, 2020","$2,330"
556,"April 13, 2020","$1,800"
557,"April 11, 2020","$2,301"
558,"April 10, 2020","$1,980"
559,"April 10, 2020","$2,265"
560,"April 21, 2020","$1,875"
561,"April 21, 2020","$2,487"
562,"April 18, 2020","$1,750"
563,"April 17, 2020","$2,200"
564,"April 16, 2020","$2,098"
565,"April 15, 2020","$2,330"
566,"April 13, 2020","$1,800"
567,"April 11, 2020","$2,301"
568,"April 10, 2020","$1,980"
569,"April 10, 2020","$2,265"
570,"April 9, 2020","$1,634"
571,"April 9, 2020","$2,010"
572,"April 9, 2020","$1,550"
573,"April 8, 2020","$2,500"
574,"April 8, 2020","$2,150"
575,"April 6, 2020","$2,000"
576,"April 5, 2020","$2,170"
577,"March 29, 2020","$2,380"
578,"March 26, 2020","$1,690"
579,"March 24, 2020","$2,008"
580,"April 9, 2020","$1,634"
581,"April 9, 2020","$2,010"
582,"April 9, 2020","$1,550"
583,"April 8, 2020","$2,500"
584,"April 8, 2020","$2,150"
585,"April 6, 2020","$2,000"
586,"April 5, 2020","$2,170"
587,"March 29, 2020","$2,380"
588,"March 26, 2020","$1,690"
589,"March 24, 2020","$2,008"
590,"April 9, 2020","$1,634"
591,"April 9, 2020","$2,010"
592,"April 9, 2020","$1,550"
593,"April 8, 2020","$2,500"
594,"April 8, 2020","$2,150"
595,"April 6, 2020","$2,000"
596,"April 5, 2020","$2,170"
597,"March 29, 2020","$2,380"
598,"March 26, 2020","$1,690"
599,"March 24, 2020","$2,008"
600,"April 9, 2020","$1,634"
601,"April 9, 2020","$2,010"
602,"April 9, 2020","$1,550"
603,"April 8, 2020","$2,500"
604,"April 8, 2020","$2,150"
605,"April 6, 2020","$2,000"
606,"April 5, 2020","$2,170"
607,"March 29, 2020","$2,380"
608,"March 26, 2020","$1,690"
609,"March 24, 2020","$2,008"
610,"April 9, 2020","$1,634"
611,"April 9, 2020","$2,010"
612,"April 9, 2020","$1,550"
613,"April 8, 2020","$2,500"
614,"April 8, 2020","$2,150"
615,"April 6, 2020","$2,000"
616,"April 5, 2020","$2,170"
617,"March 29, 2020","$2,380"
618,"March 26, 2020","$1,690"
619,"March 24, 2020","$2,008"
620,"April 21, 2020","$1,875"
621,"April 21, 2020","$2,487"
622,"April 18, 2020","$1,750"
623,"April 17, 2020","$2,200"
624,"April 16, 2020","$2,098"
625,"April 15, 2020","$2,330"
626,"April 13, 2020","$1,800"
627,"April 11, 2020","$2,301"
628,"April 10, 2020","$1,980"
629,"April 10, 2020","$2,265"
630,"April 9, 2020","$1,634"
631,"April 9, 2020","$2,010"
632,"April 9, 2020","$1,550"
633,"April 8, 2020","$2,500"
634,"April 8, 2020","$2,150"
635,"April 6, 2020","$2,000"
636,"April 5, 2020","$2,170"
637,"March 29, 2020","$2,380"
638,"March 26, 2020","$1,690"
639,"March 24, 2020","$2,008"
640,"April 9, 2020","$1,634"
641,"April 9, 2020","$2,010"
642,"April 9, 2020","$1,550"
643,"April 8, 2020","$2,500"
644,"April 8, 2020","$2,150"
645,"April 6, 2020","$2,000"
646,"April 5, 2020","$2,170"
647,"March 29, 2020","$2,380"
648,"March 26, 2020","$1,690"
649,"March 24, 2020","$2,008"
650,"April 9, 2020","$1,634"
651,"April 9, 2020","$2,010"
652,"April 9, 2020","$1,550"
653,"April 8, 2020","$2,500"
654,"April 8, 2020","$2,150"
655,"April 6, 2020","$2,000"
656,"April 5, 2020","$2,170"
657,"March 29, 2020","$2,380"
658,"March 26, 2020","$1,690"
659,"March 24, 2020","$2,008"
660,"April 9, 2020","$1,634"
661,"April 9, 2020","$2,010"
662,"April 9, 2020","$1,550"
663,"April 8, 2020","$2,500"
664,"April 8, 2020","$2,150"
665,"April 6, 2020","$2,000"
666,"April 5, 2020","$2,170"
667,"March 29, 2020","$2,380"
668,"March 26, 2020","$1,690"
669,"March 24, 2020","$2,008"
670,"April 9, 2020","$1,634"
671,"April 9, 2020","$2,010"
672,"April 9, 2020","$1,550"
673,"April 8, 2020","$2,500"
674,"April 8, 2020","$2,150"
675,"April 6, 2020","$2,000"
676,"April 5, 2020","$2,170"
677,"March 29, 2020","$2,380"
678,"March 26, 2020","$1,690"
679,"March 24, 2020","$2,008"
680,"April 9, 2020","$1,634"
681,"April 9, 2020","$2,010"
682,"April 9, 2020","$1,550"
683,"April 8, 2020","$2,500"
684,"April 8, 2020","$2,150"
685,"April 6, 2020","$2,000"
686,"April 5, 2020","$2,170"
687,"March 29, 2020","$2,380"
688,"March 26, 2020","$1,690"
689,"March 24, 2020","$2,008"
690,"April 9, 2020","$1,634"
691,"April 9, 2020","$2,010"
692,"April 9, 2020","$1,550"
693,"April 8, 2020","$2,500"
694,"April 8, 2020","$2,150"
695,"April 6, 2020","$2,000"
696,"April 5, 2020","$2,170"
697,"March 29, 2020","$2,380"
698,"March 26, 2020","$1,690"
699,"March 24, 2020","$2,008"
700,"April 9, 2020","$1,634"
701,"April 9, 2020","$2,010"
702,"April 9, 2020","$1,550"
703,"April 8, 2020","$2,500"
704,"April 8, 2020","$2,150"
705,"April 6, 2020","$2,000"
706,"April 5, 2020","$2,170"
707,"March 29, 2020","$2,380"
708,"March 26, 2020","$1,690"
709,"March 24, 2020","$2,008"
710,"April 9, 2020","$1,634"
711,"April 9, 2020","$2,010"
712,"April 9, 2020","$1,550"
713,"April 8, 2020","$2,500"
714,"April 8, 2020","$2,150"
715,"April 6, 2020","$2,000"
716,"April 5, 2020","$2,170"
717,"March 29, 2020","$2,380"
718,"March 26, 2020","$1,690"
719,"March 24, 2020","$2,008"
720,"April 9, 2020","$1,634"
721,"April 9, 2020","$2,010"
722,"April 9, 2020","$1,550"
723,"April 8, 2020","$2,500"
724,"April 8, 2020","$2,150"
725,"April 6, 2020","$2,000"
726,"April 5, 2020","$2,170"
727,"March 29, 2020","$2,380"
728,"March 26, 2020","$1,690"
729,"March 24, 2020","$2,008"
730,"March 23, 2020","$2,150"
731,"March 19, 2020","$2,000"
732,"March 17, 2020","$2,600"
733,"March 16, 2020","$2,100"
734,"March 14, 2020","$1,910"
735,"March 9, 2020","$2,052"
736,"March 9, 2020","$1,711"
737,"March 7, 2020","$1,765"
738,"March 6, 2020","$2,195"
739,"March 4, 2020","$2,494"
740,"March 4, 2020","$1,900"
741,"March 3, 2020","$2,200"
742,"March 3, 2020","$1,799"
743,"March 2, 2020","$2,192"
744,"February 28, 2020","$1,575"
745,"February 28, 2020","$2,250"
746,"February 25, 2020","$1,625"
747,"February 25, 2020","$2,849"
748,"February 22, 2020","$1,605"
749,"February 22, 2020","$2,200"
750,"March 4, 2020","$1,900"
751,"March 3, 2020","$2,200"
752,"March 3, 2020","$1,799"
753,"March 2, 2020","$2,192"
754,"February 28, 2020","$1,575"
755,"February 28, 2020","$2,250"
756,"February 25, 2020","$1,625"
757,"February 25, 2020","$2,849"
758,"February 22, 2020","$1,605"
759,"February 22, 2020","$2,200"
760,"March 4, 2020","$1,900"
761,"March 3, 2020","$2,200"
762,"March 3, 2020","$1,799"
763,"March 2, 2020","$2,192"
764,"February 28, 2020","$1,575"
765,"February 28, 2020","$2,250"
766,"February 25, 2020","$1,625"
767,"February 25, 2020","$2,849"
768,"February 22, 2020","$1,605"
769,"February 22, 2020","$2,200"
770,"March 4, 2020","$1,900"
771,"March 3, 2020","$2,200"
772,"March 3, 2020","$1,799"
773,"March 2, 2020","$2,192"
774,"February 28, 2020","$1,575"
775,"February 28, 2020","$2,250"
776,"February 25, 2020","$1,625"
777,"February 25, 2020","$2,849"
778,"February 22, 2020","$1,605"
779,"February 22, 2020","$2,200"
780,"February 19, 2020","$2,775"
781,"February 14, 2020","$2,200"
782,"February 14, 2020","$1,705"
783,"February 14, 2020","$1,750"
784,"February 13, 2020","$2,499"
785,"February 12, 2020","$2,898"
786,"February 12, 2020","$2,775"
787,"February 11, 2020","$2,402"
788,"February 11, 2020","$3,225"
789,"February 11, 2020","$1,975"
790,"February 19, 2020","$2,775"
791,"February 14, 2020","$2,200"
792,"February 14, 2020","$1,705"
793,"February 14, 2020","$1,750"
794,"February 13, 2020","$2,499"
795,"February 12, 2020","$2,898"
796,"February 12, 2020","$2,775"
797,"February 11, 2020","$2,402"
798,"February 11, 2020","$3,225"
799,"February 11, 2020","$1,975"
