GEO_ID,NIVEL,NAME
1728,5,La Redonda
1729,5,Soto de la Vega
1730,5,Santa María del Arroyo
1731,5,Alhama de Aragón
1732,5,Villota del Páramo
1733,5,El Perdigón
1734,5,Uña de Quintana
1735,5,Montánchez
1736,5,Berrocalejo
1737,5,Corral de Almaguer
1738,5,Lasarte-Oria
1739,5,Pinos Genil
1740,5,Láujar de Andarax
1741,5,San Fernando
1742,5,Layos
1743,5,Petra
1744,5,Mascaraque
1745,5,Nestares
1746,5,Alberite de San Juan
1747,5,"Comunidad de Barbadillo del Mercado, Cascajares de la Sierra y La Revilla"
1748,5,La Fresneda
1749,5,Torre del Bierzo
1750,5,Zestoa
1751,5,Sant Vicenç dels Horts
1752,5,Torre Endoménech
1753,5,Montemayor del Río
1754,5,Les Coves de Vinromà
1755,5,Calvarrasa de Abajo
1756,5,Peñaflor de Hornija
1757,5,Gaianes
1758,5,Aguilar de Codés
1759,5,Santa Cruz de la Palma
1760,5,La Pernía
1761,5,Calatañazor
1762,5,Malpartida de Cáceres
1763,5,El Romeral
1764,5,Vimianzo
1765,5,Perarrúa
1766,5,Gimenells i el Pla de la Font
1767,5,Loporzano
1768,5,Chercos
1769,5,Cassà de la Selva
1770,5,Sanchidrián
1771,5,Puerto de Santa Cruz
1772,5,Vélez-Málaga
1773,5,Peromingo
1774,5,Brabos
1775,5,Corçà
1776,5,Buitrago del Lozoya
1777,5,Montanuy
1778,5,Fuentesoto
1779,5,Talavera la Real
1780,5,Medinaceli
1781,5,Segura de los Baños
1782,5,Valtajeros
1783,5,San Fernando de Henares
1784,5,Martos
1785,5,Lomas
4011,5,Torregalindo
4012,5,La Alberguería de Argañán
4013,5,Espeja de San Marcelino
4014,5,San Vicente de la Sonsierra
4015,5,Petrer
4016,5,Vielha e Mijaran
4017,5,Alcobendas
4018,5,Sevilla
4019,5,Torralba de Calatrava
4020,5,La Sierpe
4021,5,La Romana
4022,5,Matilla de los Caños del Río
4023,5,Faraján
4024,5,Tudanca
4025,5,Villatobas
4026,5,Laguna de Contreras
4027,5,Urraul Alto
4028,5,La Haba
4029,5,Ciria
4030,5,Bellaguarda
4031,5,Castellanos de Villiquera
4032,5,Buenache de Alarcón
4033,5,Moaña
4034,5,La Mojonera
4035,5,Las Mesas
8368,5,Sant Julià de Ramis
8369,5,Albiztur
8370,5,Grandas de Salime
8371,5,Fasnia
8372,5,San Rafael del Río
8373,5,Zugarramurdi
8374,5,Castell de Cabres
8375,5,Minas de Riotinto
8376,5,La Iglesuela
8377,5,Villameriel
8378,5,Albaida del Aljarafe
8379,5,Agramunt
8380,5,Benifallet
8381,5,Ribera Alta
8382,5,Navasfrías
8383,5,El Rubio
8384,5,Lerma
8385,5,Cortes
8386,5,Moriles
8387,5,Casas de Benítez
8388,5,Corullón
8389,5,Villaseca de Uceda
8390,5,Benissanet
8391,5,Sartaguda
8392,5,Huerto
8393,5,Valdelaguna
8394,5,La Portellada
8395,5,Común de Riaza y Sepúlveda
8396,5,Ciempozuelos
8397,5,Córdoba
8398,5,Huarte
8399,5,Ansó
8400,5,Moral de Hornuez
8401,5,Moreruela de los Infanzones
8402,5,Castrojeriz
8403,5,Villasarracino
8404,5,Alovera
8405,5,Zarratón
8406,5,Frómista
8407,5,Penàguila
8408,5,Cuacos de Yuste
8409,5,Facería 2
8410,5,Catí
8411,5,Berbinzana
8412,5,Santo Domingo de Silos
8413,5,San Amaro
8414,5,Arano
8415,5,Otívar
8416,5,Les Cabanyes
8417,5,La Llosa
8418,5,Alborge
8419,5,Igúzquiza
8420,5,Luque
8421,5,Casares
8422,5,Arnes
8423,5,Pajarón
8424,5,Bañuelos de Bureba
8425,5,Arquillos
8426,5,Comares
8427,5,Sant Llorenç Savall
8428,5,La Villa de Don Fadrique
8429,5,Salillas de Jalón
8430,5,Aitona
8431,5,Torres Torres
8432,5,San Martín de Pusa
8433,5,Cabeza la Vaca
8434,5,Talaveruela de la Vera
8435,5,Santa Cruz de Marchena
8436,5,Sorzano
8437,5,Berrocalejo de Aragona
8438,5,Riello
8439,5,Villar de Plasencia
8440,5,Vandellòs i l'Hospitalet de l'Infant
8441,5,Facería 88
8442,5,Conquista de la Sierra
8443,5,Esparragosa de la Serena
8444,5,Sabiote
8445,5,Quintanilla de Onésimo
8446,5,Cendejas de la Torre
8447,5,Vecinos
8448,5,Fuente de Cantos
8449,5,Azanuy-Alins
8450,5,Canencia
8451,5,Abla
8452,5,Villatorres
8453,5,Losar de la Vera
8454,5,Facería 37
8455,5,Plentzia
8456,5,Antas
8457,5,Zucaina
8458,5,Vallejera
8459,5,Jatiel
8460,5,Sanchonuño
8461,5,Villacarriedo
8462,5,Rascafría
8463,5,San Justo
8464,5,Coto Mancomunado de Pedrosillo el Ralo y Villaverde de Guareña
8465,5,Santibáñez de Tera
8466,5,Joarilla de las Matas
8467,5,Argujillo
8468,5,Quintana del Puente
8469,5,L'Alcora
8470,5,Arapiles
8471,5,Requejo
8472,5,Mas de las Matas
8473,5,Yeste
8474,5,Merindad de Valdeporres
8475,5,Adrada de Pirón
8476,5,Bercimuel
8477,5,Martorell
8478,5,Herce
8479,5,Cilleros de la Bastida
8480,5,Morelábor
8481,5,Santa María de los Llanos
8482,5,Castronuevo
8483,5,Borja
8484,5,Villagarcía de la Torre
8485,5,Aveinte
8486,5,Carabaña
8487,5,Valles de Palenzuela
8488,5,Olocau
8489,5,Navalvillar de Ibor
8490,5,Zamora
8491,5,La Nava
8492,5,Arredondo
8493,5,Zumaia
8494,5,Castellar de n'Hug
8495,5,San Pedro Bercianos
8496,5,Prado del Rey
8497,5,Bergondo
8498,5,Villahán
8499,5,La Atalaya
8500,5,Escacena del Campo
2423,5,Castrejón de la Peña
2424,5,El Campillo de la Jara
2425,5,Benilloba
2426,5,Tubilla del Agua
2427,5,Fulleda
2428,5,Tricio
2429,5,Cercedilla
2430,5,Aldeaquemada
2431,5,Gormaz
2432,5,Estaràs
2433,5,Hinojares
2434,5,Valdunciel
2435,5,Centenera
2436,5,Orísoain
2437,5,Tordómar
2438,5,San Pedro del Valle
