,time,type,rate,votes
12593,129 min,movie,7.7,"33,924"
12594,,,,
12595,407 min,series,8.0,591
12596,80 min,movie,6.2,"23,293"
12597,89 min,movie,6.1,868
12598,130 min,movie,7.0,"9,471"
12599,,,,
12600,,,,
12601,,,,
12602,,,,
12603,71 min,movie,6.7,174
12604,N/A,movie,5.5,29
12605,109 min,movie,7.5,"107,909"
12606,,,,
12607,91 min,movie,6.3,"1,191"
12608,103 min,movie,6.5,"1,875"
12609,141 min,movie,6.2,"3,190"
12610,112 min,movie,3.4,122
12611,,,,
12612,134 min,movie,7.9,"22,754"
12613,,,,
12614,50 min,movie,7.2,25
12615,99 min,movie,5.5,644
12616,81 min,movie,4.9,66
12617,,,,
12618,107 min,movie,5.6,"4,459"
12619,,,,
12620,16 min,movie,5.6,28
12621,89 min,movie,6.7,"2,703"
12622,52 min,movie,7.3,458
12623,80 min,movie,7.8,"4,640"
12624,,,,
12625,100 min,movie,7.0,"2,774"
12626,115 min,movie,7.5,"31,707"
12627,75 min,movie,6.6,704
12628,95 min,movie,5.1,759
12629,99 min,movie,6.3,"1,739"
12630,75 min,movie,5.0,929
12631,,,,
12632,N/A,movie,N/A,N/A
12633,123 min,movie,6.6,"51,655"
12634,74 min,movie,7.9,487
12635,,,,
12636,,,,
12637,,,,
12638,,,,
12639,114 min,movie,7.2,"28,841"
12640,105 min,movie,6.2,"3,137"
12641,,,,
12642,,,,
12643,117 min,movie,6.3,"4,317"
12644,82 min,movie,5.5,464
12645,100 min,movie,7.5,"14,223"
12646,90 min,movie,6.6,290
12647,,,,
12648,330 min,series,8.0,"1,263"
12649,95 min,movie,5.0,676
12650,,,,
12651,129 min,movie,6.8,"7,681"
12652,,,,
12653,95 min,movie,5.2,"1,636"
12654,80 min,movie,6.0,654
12655,73 min,movie,2.8,"1,422"
12656,100 min,movie,6.8,"5,128"
12657,,,,
12658,,,,
12659,82 min,movie,4.2,"2,984"
12660,,,,
12661,94 min,movie,7.0,"97,875"
12662,,,,
12663,96 min,movie,3.4,"6,175"
12664,109 min,movie,7.0,"1,257"
12665,,,,
12666,,,,
12667,112 min,movie,7.5,"30,921"
12668,112 min,movie,8.0,"77,452"
12669,,,,
12670,,,,
12671,,,,
12672,,,,
12673,96 min,movie,5.8,"2,747"
12674,86 min,movie,2.1,"5,743"
12675,171 min,movie,7.6,"157,326"
12676,,,,
12677,111 min,movie,6.6,"18,939"
12678,,,,
12679,,,,
12680,93 min,movie,6.8,"4,032"
12681,22 min,series,7.6,406
12682,99 min,movie,6.6,"65,513"
12683,96 min,movie,6.3,"12,820"
12684,,,,
12685,90 min,movie,4.4,"1,691"
12686,,,,
12687,,,,
12688,,,,
12689,,,,
12690,107 min,movie,7.9,"170,284"
12691,55 min,movie,7.2,"2,761"
12692,86 min,movie,7.0,"1,278"
12693,94 min,movie,7.7,"18,616"
12694,128 min,movie,6.4,"95,046"
12695,,,,
12696,,,,
12697,,,,
12698,,,,
12699,,,,
12700,61 min,movie,7.5,180
12701,,,,
12702,112 min,movie,7.5,"8,348"
12703,118 min,movie,7.8,"12,468"
12704,,,,
12705,54 min,movie,4.3,79
12706,,,,
12707,129 min,movie,6.6,132
12708,,,,
12709,145 min,movie,6.7,"3,078"
12710,,,,
12711,137 min,movie,8.1,"17,035"
12712,,,,
12713,100 min,movie,4.4,358
12714,110 min,movie,6.9,"14,965"
12715,,,,
12716,,,,
12717,98 min,movie,6.6,784
12718,,,,
12719,89 min,movie,7.5,"13,667"
12720,,,,
12721,143 min,movie,8.3,"62,243"
12722,,,,
12723,95 min,movie,7.7,"20,043"
12724,113 min,movie,6.0,"2,052"
12725,,,,
12726,96 min,movie,7.5,"5,312"
12727,72 min,movie,6.3,"15,235"
12728,,,,
12729,90 min,movie,3.2,72
12730,,,,
12731,,,,
12732,136 min,movie,6.7,"75,716"
12733,,,,
12734,97 min,movie,5.3,"14,655"
12735,106 min,movie,5.3,"6,129"
12736,111 min,movie,7.1,"3,275"
12737,240 min,series,6.2,803
12738,80 min,movie,7.9,"10,479"
12739,106 min,movie,6.5,"6,808"
12740,,,,
12741,110 min,movie,5.6,"60,708"
12742,144 min,movie,6.8,447
12743,125 min,movie,6.7,"47,306"
12744,,,,
12745,99 min,movie,7.0,"14,919"
12746,105 min,movie,6.4,"2,189"
12747,134 min,movie,7.4,"4,547"
12748,118 min,movie,6.6,"73,372"
12749,83 min,movie,3.6,"3,472"
12750,,,,
12751,35 min,movie,5.2,32
12752,,,,
12753,90 min,movie,7.5,134
12754,120 min,movie,6.2,"1,013"
12755,,,,
12756,,,,
12757,113 min,movie,7.6,"3,558"
12758,,,,
12759,,,,
12760,105 min,movie,6.4,"3,486"
12761,,,,
12762,65 min,movie,8.7,40
12763,108 min,movie,6.9,"41,878"
12764,N/A,movie,8.0,10
12765,90 min,movie,5.7,525
12766,110 min,movie,7.1,"2,630"
12767,88 min,movie,6.2,"24,302"
12768,96 min,movie,7.0,"2,908"
12769,97 min,movie,7.0,"12,140"
12770,,,,
12771,,,,
12772,122 min,movie,6.3,617
12773,136 min,movie,6.3,"11,889"
12774,131 min,movie,7.2,"32,292"
12775,30 min,series,6.7,"4,335"
12776,,,,
12777,100 min,series,7.8,"1,197"
12778,,,,
12779,60 min,movie,7.7,306
12780,,,,
12781,108 min,movie,6.8,"10,066"
12782,93 min,movie,4.2,"1,460"
12783,,,,
12784,,,,
12785,104 min,movie,7.4,"555,853"
12786,90 min,movie,4.5,"3,422"
12787,,,,
12788,,,,
12789,,,,
12790,99 min,movie,4.2,"4,899"
12791,,,,
12792,,,,
12793,,,,
12794,18 min,movie,6.1,"1,637"
12795,122 min,movie,7.4,"18,464"
12796,,,,
12797,240 min,series,7.6,199
12798,101 min,movie,5.6,"9,061"
12799,97 min,movie,6.3,"43,330"
12800,117 min,movie,7.8,"9,947"
12801,159 min,movie,5.7,"4,429"
12802,92 min,movie,4.6,401
12803,95 min,movie,7.6,"11,059"
12804,,,,
12805,50 min,series,8.6,827
12806,87 min,movie,7.1,834
12807,,,,
12808,,,,
12809,83 min,movie,7.1,683
12810,108 min,movie,5.9,"8,992"
12811,,,,
12812,,,,
12813,188 min,movie,7.5,"15,710"
12814,,,,
12815,,,,
12816,,,,
12817,84 min,movie,5.9,"1,205"
12818,100 min,movie,7.1,"128,225"
12819,,,,
12820,52 min,movie,6.9,"1,894"
12821,101 min,movie,3.5,426
12822,,,,
12823,,,,
12824,102 min,movie,7.8,"2,599"
12825,110 min,movie,5.1,198
12826,,,,
12827,60 min,movie,4.4,172
12828,118 min,movie,7.0,"46,620"
12829,,,,
12830,,,,
12831,,,,
12832,26 min,series,7.6,689
12833,93 min,movie,5.8,"26,706"
12834,,,,
12835,,,,
12836,96 min,movie,5.1,"1,872"
12837,102 min,movie,6.7,"3,155"
12838,108 min,movie,7.8,"222,333"
12839,88 min,movie,6.3,"17,357"
12840,94 min,movie,7.5,"18,632"
12841,,,,
12842,,,,
12843,99 min,movie,7.3,"117,951"
12844,96 min,movie,6.6,758
12845,,,,
12846,,,,
12847,,,,
12848,,,,
12849,166 min,movie,7.9,"14,712"
12850,135 min,movie,7.6,"409,307"
12851,,,,
12852,104 min,movie,7.8,"7,402"
12853,91 min,movie,5.3,"1,197"
12854,,,,
12855,,,,
12856,93 min,movie,5.6,"1,015"
12857,,,,
12858,,,,
12859,,,,
12860,88 min,movie,6.3,"6,753"
12861,100 min,movie,6.1,"10,767"
12862,102 min,movie,6.3,"26,505"
12863,91 min,movie,4.1,460
12864,,,,
12865,92 min,movie,5.2,"1,313"
12866,105 min,movie,3.0,"4,829"
12867,129 min,movie,7.0,"47,547"
12868,115 min,movie,7.9,"5,078"
12869,97 min,movie,7.2,"12,993"
12870,195 min,movie,8.9,"1,156,933"
12871,,,,
12872,,,,
12873,117 min,movie,5.7,"1,648"
12874,,,,
12875,96 min,movie,6.9,"6,611"
12876,89 min,movie,5.9,891
12877,,,,
12878,N/A,series,8.6,383
12879,88 min,movie,6.7,"18,812"
12880,,,,
12881,127 min,movie,7.6,"259,547"
12882,90 min,movie,8.3,32
12883,,,,
12884,89 min,movie,7.4,"8,956"
12885,144 min,movie,7.8,"8,891"
12886,30 min,movie,7.4,461
12887,81 min,movie,3.6,201
12888,120 min,movie,6.5,780
12889,88 min,movie,6.6,"5,436"
12890,98 min,movie,7.4,"160,852"
12891,,,,
12892,112 min,movie,7.4,"32,230"
12893,103 min,movie,6.3,227
12894,103 min,movie,7.6,"34,540"
12895,270 min,series,7.5,910
12896,98 min,movie,7.4,"34,280"
12897,108 min,movie,3.2,"1,114"
12898,,,,
12899,73 min,movie,6.2,152
12900,,,,
12901,,,,
12902,85 min,movie,6.5,"19,405"
12903,,,,
12904,117 min,movie,6.9,"92,429"
12905,,,,
12906,90 min,movie,5.9,785
12907,,,,
12908,91 min,movie,5.9,"1,895"
12909,,,,
12910,,,,
12911,105 min,movie,6.5,"68,873"
12912,,,,
