Date, Close/Last, Volume, Open, High, Low
01/16/2018, $178.39, 35301770, $181.5, $181.75, $178.04
01/12/2018, $179.37, 77429430, $178.06, $181.48, $177.4
01/11/2018, $187.77, 8975761, $188.4, $188.4, $187.38
01/10/2018, $187.84, 10517270, $186.94, $187.89, $185.63
01/09/2018, $187.87, 12358070, $188.7, $188.8, $187.1
01/08/2018, $188.28, 17975230, $187.2, $188.9, $186.33
01/05/2018, $186.85, 13553640, $185.59, $186.9, $184.93
01/04/2018, $184.33, 13863960, $184.9, $186.21, $184.0996
01/03/2018, $184.67, 16878260, $181.88, $184.78, $181.33
01/02/2018, $181.42, 17915900, $177.68, $181.58, $177.55
12/29/2017, $176.46, 10220640, $178, $178.85, $176.46
12/28/2017, $177.92, 12186930, $177.95, $178.9367, $177.68
12/27/2017, $177.62, 9491241, $176.55, $178.44, $176.26
12/26/2017, $175.99, 8872001, $176.63, $177, $174.67
12/22/2017, $177.2, 8498301, $177.14, $177.53, $176.23
12/21/2017, $177.45, 11143880, $177.94, $178.68, $177.05
12/20/2017, $177.89, 11841860, $179.81, $179.81, $177.36
12/19/2017, $179.51, 14841100, $179.95, $180.08, $178.22
12/18/2017, $180.82, 17208480, $181.01, $181.3, $179.75
12/15/2017, $180.18, 28450570, $179.02, $180.4934, $178.36
12/14/2017, $178.39, 13566430, $178.29, $180.3601, $177.68
12/13/2017, $178.3, 14607730, $177.3, $179.16, $177.25
12/12/2017, $176.96, 16785360, $178.6, $179.18, $176.6
12/11/2017, $179.04, 13153390, $179.3, $180.22, $178.8
12/08/2017, $179, 19505890, $181.53, $182.28, $178.7401
12/07/2017, $180.14, 20326090, $175.8, $180.39, $175.8
12/06/2017, $176.06, 20177280, $172.5, $176.77, $171.9
12/05/2017, $172.83, 20162370, $170.45, $175.38, $169.01
12/04/2017, $171.47, 24420700, $176.29, $176.57, $170.79
12/01/2017, $175.1, 19977450, $176.03, $177.48, $172.34
11/30/2017, $177.18, 25129620, $176.85, $178.275, $175.2
11/29/2017, $175.13, 41867070, $181.89, $181.97, $174
11/28/2017, $182.42, 14366700, $183.51, $184.25, $182.09
11/27/2017, $183.03, 12290390, $182.56, $183.73, $181.99
11/24/2017, $182.78, 9426283, $180.4, $183.15, $180.29
11/22/2017, $180.87, 10367990, $181.3, $181.73, $180.44
11/21/2017, $181.86, 14466710, $179.15, $181.89, $178.99
11/20/2017, $178.74, 9579637, $178.87, $179.5, $178.1
11/17/2017, $179, 13005190, $179.3, $179.98, $178.9
11/16/2017, $179.59, 15230070, $178.76, $179.83, $178.5
11/15/2017, $177.95, 10220940, $176.66, $178.57, $176.4
11/14/2017, $178.07, 9535750, $178.13, $178.97, $177.18
11/13/2017, $178.77, 9514524, $177.5, $179.04, $177.3
11/10/2017, $178.46, 11058700, $178.35, $179.0999, $177.96
11/09/2017, $179.3, 12599830, $178.31, $179.4, $177.09
11/08/2017, $179.56, 10467000, $179.79, $180.35, $179.11
11/07/2017, $180.25, 12895890, $180.5, $180.7478, $178.96
11/06/2017, $180.17, 13274060, $178.56, $180.45, $178.31
11/03/2017, $178.92, 17789310, $179.29, $179.86, $176.71
11/02/2017, $178.92, 35448690, $180.63, $181.94, $177.34
11/01/2017, $182.66, 37999510, $182.36, $182.9, $180.57
10/31/2017, $180.06, 19936260, $180.57, $180.8, $178.94
10/30/2017, $179.87, 24309980, $179.26, $180.69, $177.61
10/27/2017, $177.88, 30266080, $174.15, $178.21, $173.9
10/26/2017, $170.63, 11690100, $171.38, $172.285, $170.39
10/25/2017, $170.6, 15861100, $171.9, $172.25, $168.89
10/24/2017, $171.8, 12163060, $172.3, $173.24, $171.5
10/23/2017, $171.27, 13807700, $175.2, $175.34, $171.25
10/20/2017, $174.98, 12422870, $175.5, $175.88, $174.63
10/19/2017, $174.56, 13873480, $174.93, $176.03, $172.63
10/18/2017, $176.03, 12723070, $176.65, $176.74, $175.75
10/17/2017, $176.11, 15926670, $174.71, $176.13, $174.36
10/16/2017, $174.52, 11455560, $174.49, $175, $174.06
10/13/2017, $173.74, 13601140, $173.45, $174.65, $173.2
10/12/2017, $172.55, 10461960, $172.61, $173.85, $172.29
10/11/2017, $172.74, 11251830, $171.95, $172.78, $171.4
10/10/2017, $171.59, 11330830, $173, $173.2, $170.8
10/09/2017, $172.5, 14552670, $172.7, $174.88, $172
10/06/2017, $172.23, 12711640, $170.25, $172.37, $169.75
10/05/2017, $171.24, 14453310, $169.18, $171.31, $168.6
10/04/2017, $168.42, 11926980, $169.83, $170.67, $168.29
10/03/2017, $169.96, 8177141, $169.3, $170.73, $169.2
10/02/2017, $169.47, 13350740, $171.39, $171.87, $168.75
09/29/2017, $170.87, 15274870, $168.83, $171.66, $168.81
09/28/2017, $168.73, 12157690, $167.94, $169.0696, $167.16
09/27/2017, $167.68, 19131680, $165.9, $168.34, $165.57
09/26/2017, $164.21, 23083780, $164.5, $165.5, $162.78
09/25/2017, $162.87, 41207930, $169.24, $169.3, $161.56
09/22/2017, $170.54, 12040370, $170.21, $171.73, $169.22
09/21/2017, $171.11, 11088960, $171.69, $172.27, $170.01
09/20/2017, $172.17, 12226570, $172.5, $173.05, $170.7
09/19/2017, $172.52, 13021560, $170.62, $172.56, $170.36
09/18/2017, $170.01, 12898300, $171.99, $172.07, $169.34
