Date,Open,High,Low,Close
2017-07-14,279.692,281.178,279.021,279.384
2017-07-17,279.529,280.319,279.039,279.693
2017-07-18,279.682,281.96,279.599,280.876
2017-07-19,280.885,282.388,280.608,281.683
2017-07-20,281.661,282.624,280.617,281.85
2017-07-21,281.869,283.662,281.419,283.318
2017-07-24,283.208,284.165,282.668,282.903
2017-07-25,282.907,283.558,280.957,281.161
2017-07-26,281.161,281.941,280.314,281.699
2017-07-27,281.682,283.004,280.8,282.285
2017-07-28,282.284,283.222,282.019,283.056
2017-07-31,283.028,283.88,282.53,282.97
2017-08-01,282.951,283.485,282.159,282.717
2017-08-02,282.696,282.826,281.042,281.526
2017-08-03,281.526,284.57,281.269,284.37
2017-08-04,284.385,284.586,282.917,283.95
2017-08-07,283.811,284.099,283.359,283.822
2017-08-08,283.814,285.73,283.709,285.643
2017-08-09,285.63,287.463,285.63,286.25
2017-08-10,286.248,288.677,285.618,288.601
2017-08-11,288.59,289.289,288.022,288.073
2017-08-14,288.182,288.197,286.585,287.707
2017-08-15,287.727,287.727,285.549,286.375
2017-08-16,286.362,287.355,285.167,287.114
2017-08-17,287.119,289.248,286.972,289.248
2017-08-18,289.232,291.183,288.92,289.886
2017-08-21,289.595,290.694,289.21,289.89
2017-08-22,289.876,290.327,288.917,289.358
2017-08-23,289.358,291.12,288.82,291.105
2017-08-24,291.087,291.417,289.432,289.533
2017-08-25,289.511,289.708,288.582,288.811
2017-08-28,288.382,289.433,287.768,289.234
2017-08-29,289.237,290.518,286.508,287.212
2017-08-30,287.209,287.382,285.406,285.963
2017-08-31,285.961,287.25,285.157,286.511
2017-09-01,286.538,286.587,285.346,285.675
2017-09-04,287.058,287.81,286.349,287.198
2017-09-05,287.209,288.887,286.975,288.4
2017-09-06,288.447,289.023,286.639,286.992
2017-09-07,287.008,288.919,286.778,288.209
2017-09-08,288.21,289.746,287.832,288.519
2017-09-11,287.427,287.645,284.823,285.113
2017-09-12,285.117,285.348,281.566,281.796
2017-09-13,281.788,282.628,281.35,282.164
2017-09-14,282.155,282.931,279.51,280.613
2017-09-15,280.613,282.423,275.465,276.901
2017-09-18,276.228,276.677,275.382,276.102
2017-09-19,276.097,276.822,274.641,275.826
2017-09-20,275.821,276.334,274.413,274.604
2017-09-21,274.588,274.767,272.982,273.36
2017-09-22,273.331,275.359,273.073,274.768
2017-09-25,274.91,277.361,273.634,276.45
2017-09-26,276.443,277.075,275.356,275.414
2017-09-27,275.413,275.695,274.084,274.898
2017-09-28,274.908,275.653,274.426,275.504
2017-09-29,275.497,276.01,274.766,275.296
2017-10-02,275.524,276.937,274.833,276.472
2017-10-03,276.471,276.694,275.426,276.461
2017-10-04,276.464,277.23,275.947,276.612
2017-10-05,276.615,278.776,276.392,278.154
2017-10-06,278.149,279.138,277.633,279.012
2017-10-09,278.767,279.596,277.612,278.158
2017-10-10,278.154,278.908,277.613,277.905
2017-10-11,277.905,278.639,277.067,277.168
2017-10-12,277.17,278.948,276.976,277.424
2017-10-13,277.428,278.281,277.266,278.135
2017-10-16,278.073,278.932,277.693,277.977
2017-10-17,277.979,278.888,277.606,278.682
2017-10-18,278.684,278.793,276.593,276.612
2017-10-19,276.603,278.203,276.105,277.897
2017-10-20,277.898,277.933,275.395,275.568
2017-10-23,274.806,276.136,274.231,275.616
2017-10-24,275.619,276.085,274.795,275.351
2017-10-25,275.352,275.746,273.315,274.296
2017-10-26,274.291,275.752,274.173,275.343
2017-10-27,275.329,276.695,275.149,276.632
2017-10-30,276.511,277.225,275.786,276.903
2017-10-31,276.905,277.213,274.631,274.801
2017-11-01,274.801,274.81,273.44,274.153
2017-11-02,274.151,276.746,273.826,276.38
2017-11-03,276.38,276.657,275.551,276.239
2017-11-06,276.072,276.079,274.82,275.818
2017-11-07,275.818,276.032,275.002,275.821
2017-11-08,275.826,277.624,275.767,276.341
2017-11-09,276.355,277.656,275.756,276.707
2017-11-10,276.719,277.192,275.76,275.924
2017-11-13,276.124,277.956,275.95,276.682
2017-11-14,276.683,276.966,275.802,275.968
2017-11-15,275.969,277.859,275.963,277.354
2017-11-16,277.383,277.599,276.234,276.662
2017-11-17,276.688,279.076,276.573,278.721
2017-11-20,278.657,279.673,277.263,277.596
2017-11-21,277.589,278.406,277.247,277.789
2017-11-22,277.769,279.792,277.747,279.5
2017-11-23,279.564,279.973,279.077,279.579
2017-11-24,279.589,279.697,277.948,278.254
2017-11-27,278.169,279.952,277.98,279.705
2017-11-28,279.738,280.72,278.082,278.418
2017-11-29,278.427,278.593,276.432,276.613
2017-11-30,276.619,276.685,273.664,273.786
2017-12-01,273.803,276.537,273.49,275.45
2017-12-04,273.982,275.103,272.848,274.674
2017-12-05,274.706,275.725,274.249,275.206
2017-12-06,275.202,277.088,275.198,276.621
2017-12-07,276.59,276.625,273.625,273.69
2017-12-08,273.695,274.251,272.324,273.627
2017-12-11,273.394,274.336,273.034,273.993
2017-12-12,273.981,274.611,273.756,274.354
2017-12-13,274.341,275.71,274.215,275.04
2017-12-14,275.045,276.332,274.297,275.921
2017-12-15,275.919,277.402,275.695,276.489
2017-12-18,276.505,276.525,275.439,275.831
2017-12-19,275.805,275.951,274.425,274.816
2017-12-20,274.826,274.836,273.225,273.722
2017-12-21,273.72,274.052,273.145,273.638
2017-12-22,273.64,274.087,273.525,274.055
2017-12-26,273.873,274.299,273.758,274.166
2017-12-27,274.166,274.219,273.236,273.59
2017-12-28,273.535,274.317,273.427,273.914
2017-12-29,273.879,274.205,272.944,273.41
2018-01-02,273.393,274.17,272.938,273.34
2018-01-03,273.333,274.248,272.961,273.629
2018-01-04,273.626,273.64,272.203,272.455
2018-01-05,272.428,272.491,271.193,271.544
2018-01-08,271.52,272.556,271.306,271.677
2018-01-09,271.684,274.284,271.627,273.468
2018-01-10,273.478,276.863,273.232,276.702
2018-01-11,276.697,276.975,275.665,276.45
2018-01-12,276.446,276.503,273.805,274.369
2018-01-15,274.04,275.219,273.964,274.591
2018-01-16,274.595,275.267,273.589,274.905
2018-01-17,274.922,275.177,272.285,272.85
2018-01-18,272.851,273.093,271.836,272.385
2018-01-19,272.371,274.072,272.249,273.481
2018-01-22,273.46,273.611,271.516,271.767
2018-01-23,271.735,273.635,271.287,273.006
2018-01-24,273,274,272.657,272.858
2018-01-25,272.852,274.047,272.077,272.975
2018-01-26,272.904,275.45,271.983,274.68
2018-01-29,274.83,275.746,274.192,274.919
2018-01-30,274.924,276.652,274.397,274.577
2018-01-31,274.577,274.797,272.42,272.967
2018-02-01,272.974,273.11,271.107,271.285
2018-02-02,271.319,271.66,270.22,271.307
2018-02-05,271.259,275.744,271.233,275.499
2018-02-06,275.511,277.546,274.222,274.224
2018-02-07,274.229,276.939,274.229,276.442
2018-02-08,276.439,278.126,273.95,277.381
2018-02-09,277.366,280.741,275.442,278.302
2018-02-12,278.157,279.386,277.898,278.284
2018-02-13,278.266,280.868,277.996,279.836
2018-02-14,279.793,282.66,279.55,280.405
2018-02-15,280.46,281.998,280.156,281.307
2018-02-16,281.384,282.549,280.786,282.204
2018-02-19,282,282.349,281.3,281.571
2018-02-20,281.571,281.68,279.95,280.073
2018-02-21,280.076,280.679,278.681,280.077
2018-02-22,280.122,282.281,280.003,281.981
2018-02-23,281.987,282.522,281.235,281.69
2018-02-26,281.196,282.279,280.915,281.315
2018-02-27,281.339,281.881,280.721,281.222
2018-02-28,281.222,284.941,280.841,284.906
2018-03-01,284.896,285.985,283.498,285.872
2018-03-02,285.864,287.832,285.366,286.534
2018-03-05,286.516,287.817,284.567,284.642
2018-03-06,284.64,285.611,283.193,285.239
2018-03-07,285.223,285.99,284.052,284.12
2018-03-08,284.125,285.64,283.882,285.037
2018-03-09,285.034,285.104,282.359,283.304
2018-03-12,282.887,284.294,282.805,283.662
2018-03-13,283.654,283.996,281.312,282.473
2018-03-14,282.477,284.19,281.794,283.102
2018-03-15,283.116,284.726,283.093,283.786
2018-03-16,283.794,285.422,283.611,284.549
2018-03-19,284.633,285.804,282.274,283.451
2018-03-20,283.447,283.709,281.633,282.743
2018-03-21,282.72,283.192,281.361,282.425
2018-03-22,282.419,286.283,282.202,285.71
2018-03-23,285.72,286.235,284.189,285.762
2018-03-26,285.691,285.728,282.386,282.474
2018-03-27,282.475,283.771,281.699,283.494
2018-03-28,283.522,283.57,280.575,281.041
2018-03-29,281.067,283.033,280.841,282.389
2018-03-30,282.389,283.342,282.293,282.891
2018-04-02,282.932,284.417,282.045,283.859
2018-04-03,283.864,284.297,281.803,281.927
2018-04-04,281.948,283.663,281.12,281.252
2018-04-05,281.28,281.367,280.416,280.555
2018-04-06,280.561,281.516,279.851,280.89
