,metascore,name,console,playerscore,date,genre,brand
7065,5.9,NBA Live 07,X360,4.9,2006-09-25,Sports,Microsoft
7066,5.9,Cars 3: Driven to Win,XONE,7.0,2017-06-13,Racing,Microsoft
7067,5.9,Cars 3: Driven to Win,Switch,5.3,2017-06-13,Racing,Nintendo
7068,5.9,Curse: The Eye of Isis,XBOX,6.8,2003-12-08,Action-Adventure,Microsoft
7069,5.9,Mobile Light Force 2,PS2,7.2,2003-03-19,Shooter,Sony
7070,5.9,Frogger's Adventures: The Rescue,PS2,8.5,2003-10-29,Platform,Sony
7071,5.9,Futurama,PS2,6.2,2003-08-14,Platform,Sony
7072,5.9,Yu-Gi-Oh! The Duelists of the Roses,PS2,8.0,2003-02-16,Action-Adventure,Sony
7073,5.9,Top Gun: Combat Zones,GC,7.1,2002-10-24,Simulation,Nintendo
7074,5.9,Sega Rally Championship,GBA,0.0,2003-03-10,Racing,Nintendo
7075,5.9,Bloody Roar 4,PS2,8.6,2003-11-11,Fighting,Sony
7076,5.9,Robin Hood: Defender of the Crown,PS2,5.6,2003-09-30,Strategy,Sony
7077,5.9,Legends of Wrestling II,PS2,6.8,2002-11-26,Fighting,Sony
7078,5.9,Disney Sports Snowboarding,GBA,0.0,2003-02-05,Sports,Nintendo
7079,5.9,Legends of Wrestling II,GC,0.0,2002-11-26,Fighting,Nintendo
7080,5.9,Astro Duel Deluxe,Switch,6.3,2017-05-30,Shooter,Nintendo
7081,5.9,Rogue Trooper Redux,PS4,6.5,2017-10-17,Shooter,Sony
7082,5.9,Disney's Tarzan Untamed,PS2,7.1,2001-11-14,Platform,Sony
7083,5.9,Soldier of Fortune: Gold Edition,PS2,6.8,2001-11-11,Shooter,Sony
7084,5.9,4x4 EVO 2,XBOX,6.2,2001-11-14,Racing,Microsoft
7085,5.9,WarJetz,PS2,5.5,2001-06-27,Shooter,Sony
7086,5.9,Stuart Little 2,GBA,0.0,2002-07-12,Platform,Nintendo
7087,5.9,The Incredible Adventures of Van Helsing,XONE,7.3,2015-12-01,Role-Playing,Microsoft
7088,5.9,Resident Evil 2,GC,8.8,2003-01-16,Action-Adventure,Nintendo
7089,5.9,The Bunker,XONE,6.3,2016-09-23,Action-Adventure,Microsoft
7090,5.9,Sega Bass Fishing,WII,5.8,2008-02-26,Sports,Nintendo
7091,5.9,Spectral Force 3,X360,7.5,2008-07-29,Role-Playing,Microsoft
7092,5.9,Mister Slime,DS,0.0,2008-07-23,Action-Adventure,Nintendo
7093,5.9,Playboy: The Mansion,PS2,7.6,2005-01-25,Simulation,Sony
7094,5.9,Dynasty Warriors 6,PS3,7.2,2008-02-19,Action-Adventure,Sony
7095,5.9,Gauntlet: Seven Sorrows,PS2,5.7,2005-12-12,Role-Playing,Sony
7096,5.9,F1 2011,3DS,6.4,2011-12-06,Racing,Nintendo
7097,5.9,Late Shift,PS4,6.9,2017-04-18,Action-Adventure,Sony
7098,5.9,Entwined,PS4,6.6,2014-06-09,Action-Adventure,Sony
7099,5.9,Murdered: Soul Suspect,PS4,6.9,2014-06-03,Action-Adventure,Sony
7100,5.9,AeternoBlade,3DS,7.3,2014-02-18,Action-Adventure,Nintendo
7101,5.9,FIFA Street 2,PS2,7.8,2006-02-28,Sports,Sony
7102,5.9,Abyss,WIIU,5.3,2014-05-01,Action-Adventure,Nintendo
7103,5.9,Total Immersion Racing,PS2,0.0,2002-11-20,Racing,Sony
7104,5.9,Avatar: The Last Airbender,PS2,7.6,2006-10-10,Action-Adventure,Sony
7105,5.9,NBA Live 15,PS4,5.6,2014-10-28,Sports,Sony
7106,5.9,Loadout,PS4,5.9,2014-12-16,Shooter,Sony
