,ID,Year,per_capita,thousand_tons
455,212,2005,1.7,117
456,212,2010,1.9,139
457,212,2012,1.9,136
458,212,2013,1.8,132
459,212,2014,1.9,136
460,214,1975,1.2,6340
461,214,1985,1.1,7294
462,214,1995,2.0,15885
463,214,2005,2.0,18639
464,214,2010,2.1,21023
465,214,2012,2.2,22123
466,214,2013,2.1,21441
467,214,2014,2.1,21540
468,218,1975,1.1,7363
469,218,1985,2.1,19431
470,218,1995,2.0,22842
471,218,2005,2.2,30264
472,218,2010,2.5,36461
473,218,2012,2.5,38140
474,218,2013,2.6,40997
475,218,2014,2.8,43920
476,818,1975,0.8,31100
477,818,1985,1.2,63938
478,818,1995,1.5,95723
479,818,2005,2.2,167208
480,818,2010,2.5,202715
481,818,2012,2.5,217068
482,818,2013,2.4,213412
483,818,2014,2.2,201894
484,222,1975,0.5,2109
485,222,1985,0.4,1988
486,222,1995,0.9,5027
487,222,2005,1.1,6454
488,222,2010,1.1,6458
489,222,2012,1.1,6663
490,222,2013,1.0,6230
491,222,2014,1.0,6285
492,226,1975,0.3,62
493,226,1985,0.2,66
494,226,1995,0.3,128
495,226,2005,7.7,4712
496,226,2010,6.4,4679
497,226,2012,6.6,5115
498,226,2013,6.5,5163
499,226,2014,6.5,5346
500,232,1995,0.3,935
501,232,2005,0.2,766
502,232,2010,0.1,513
503,232,2012,0.1,660
504,232,2013,0.1,667
505,232,2014,0.1,697
506,233,1995,12.2,17521
507,233,2005,12.4,16755
508,233,2010,13.6,18108
509,233,2012,13.3,17624
510,233,2013,15.1,19893
511,233,2014,14.8,19519
512,231,1975,0.0,1210
513,231,1985,0.0,1815
514,231,1995,0.0,2563
515,231,2005,0.1,5119
516,231,2010,0.1,6586
517,231,2012,0.1,8562
518,231,2013,0.1,10634
519,231,2014,0.1,11599
536,242,1975,1.1,623
537,242,1985,0.8,579
538,242,1995,1.0,763
539,242,2005,1.3,1096
540,242,2010,1.4,1221
541,242,2012,1.2,1060
542,242,2013,1.3,1151
543,242,2014,1.3,1170
544,246,1975,9.8,46102
545,246,1985,10.1,49666
546,246,1995,10.3,52713
547,246,2005,10.4,54646
548,246,2010,11.6,62082
549,246,2012,9.1,49134
550,246,2013,8.7,47220
551,246,2014,8.6,47301
552,250,1975,8.5,446919
553,250,1985,7.3,400880
554,250,1995,6.1,349161
555,250,2005,6.3,385369
556,250,2010,5.6,353033
557,250,2012,5.2,333228
558,250,2013,5.2,334097
559,250,2014,4.7,303276
568,258,1975,1.7,213
569,258,1985,3.4,587
570,258,1995,2.0,429
571,258,2005,3.2,821
572,258,2010,3.2,858
573,258,2012,3.0,814
574,258,2013,3.0,821
575,258,2014,2.9,803
576,266,1975,9.0,5368
577,266,1985,8.0,6318
578,266,1995,4.3,4624
579,266,2005,3.6,4888
580,266,2010,3.1,4811
581,266,2012,3.2,5104
582,266,2013,3.2,5280
583,266,2014,3.1,5192
584,270,1975,0.2,99
585,270,1985,0.2,172
586,270,1995,0.2,198
587,270,2005,0.2,293
588,270,2010,0.3,433
589,270,2012,0.3,455
590,270,2013,0.2,433
591,270,2014,0.3,513
592,268,1995,0.4,2303
593,268,2005,1.1,5068
594,268,2010,1.5,6315
595,268,2012,2.1,8441
596,268,2013,1.9,7858
597,268,2014,2.2,8988
598,276,1995,10.6,864110
599,276,2005,9.6,797180
600,276,2010,9.4,758860
601,276,2012,9.2,739861
602,276,2013,9.4,757313
603,276,2014,8.9,719883
604,288,1975,0.3,2747
605,288,1985,0.3,3326
606,288,1995,0.3,5277
607,288,2005,0.3,6993
608,288,2010,0.4,9956
609,288,2012,0.5,11877
610,288,2013,0.6,14620
611,288,2014,0.6,14466
620,300,1975,4.3,38874
621,300,1985,6.1,60601
622,300,1995,7.4,78782
623,300,2005,8.8,98675
624,300,2010,7.5,83857
625,300,2012,7.2,80043
626,300,2013,6.3,69482
627,300,2014,6.1,67319
628,304,1975,10.2,506
629,304,1985,9.6,510
630,304,1995,9.1,502
631,304,2005,10.6,609
632,304,2010,11.7,664
633,304,2012,10.1,568
634,304,2013,9.8,554
635,304,2014,9.0,506
636,308,1975,0.5,48
637,308,1985,0.6,62
638,308,1995,1.5,150
639,308,2005,2.1,216
640,308,2010,2.5,260
641,308,2012,2.6,271
642,308,2013,2.9,304
643,308,2014,2.3,242
652,320,1975,0.6,3524
653,320,1985,0.4,3524
654,320,1995,0.7,7165
655,320,2005,1.0,12570
656,320,2010,0.8,11665
657,320,2012,0.8,11973
658,320,2013,0.9,13634
659,320,2014,1.1,18328
660,324,1975,0.2,843
661,324,1985,0.2,994
662,324,1995,0.2,1291
663,324,2005,0.2,1826
664,324,2010,0.2,2604
665,324,2012,0.2,2582
666,324,2013,0.2,2299
667,324,2014,0.2,2450
668,624,1975,0.1,114
669,624,1985,0.2,172
670,624,1995,0.1,183
671,624,2005,0.1,213
672,624,2010,0.1,238
673,624,2012,0.1,253
674,624,2013,0.1,257
675,624,2014,0.1,271
676,328,1975,2.5,1826
677,328,1985,1.9,1419
678,328,1995,2.0,1463
679,328,2005,1.9,1437
680,328,2010,2.3,1720
681,328,2012,2.6,1995
682,328,2013,2.5,1936
683,328,2014,2.6,2010
684,332,1975,0.1,484
685,332,1985,0.1,942
686,332,1995,0.1,902
687,332,2005,0.2,2076
688,332,2010,0.2,2127
689,332,2012,0.2,2314
