,ID,Year,Real growth rate,Per capita,In millions
631,818,2016,4.3,2824.0,270255.0
632,818,2017,4.2,2000.0,195136.0
633,222,1985,2.0,1053.0,5183.0
634,222,1995,6.4,1590.0,8922.0
635,222,2005,3.6,2438.0,14698.0
636,222,2010,1.4,2993.0,18448.0
637,222,2015,2.4,3670.0,23166.0
638,222,2016,2.6,3769.0,23912.0
639,222,2017,2.3,3889.0,24805.0
640,226,1985,12.9,246.0,88.0
641,226,1995,11.7,427.0,215.0
642,226,2005,8.9,11250.0,8520.0
643,226,2010,-8.9,17136.0,16299.0
644,226,2015,-9.1,11209.0,13176.0
645,226,2016,-8.6,9213.0,11253.0
646,226,2017,-3.2,9850.0,12487.0
647,232,1995,20.9,207.0,640.0
648,232,2005,1.5,277.0,1098.0
649,232,2010,2.2,482.0,2117.0
650,232,2015,2.6,916.0,4442.0
651,232,2016,1.9,1010.0,5005.0
652,232,2017,5.0,1147.0,5813.0
653,233,1995,4.3,3086.0,4423.0
654,233,2005,9.6,10330.0,14003.0
655,233,2010,2.3,14640.0,19503.0
656,233,2015,1.7,17157.0,22567.0
657,233,2016,2.1,17782.0,23338.0
658,233,2017,4.9,19793.0,25921.0
666,231,1995,6.1,132.0,7587.0
667,231,2005,11.8,159.0,12164.0
668,231,2010,12.6,300.0,26311.0
669,231,2015,10.4,632.0,63079.0
670,231,2016,7.6,687.0,70314.0
671,231,2017,11.1,720.0,75605.0
672,242,1985,-3.9,1605.0,1143.0
673,242,1995,2.5,2570.0,1993.0
674,242,2005,0.7,3627.0,2980.0
675,242,2010,3.0,3652.0,3140.0
676,242,2015,3.8,4890.0,4362.0
677,242,2016,0.7,5090.0,4575.0
678,242,2017,3.0,5382.0,4874.0
679,246,1985,3.5,11385.0,55914.0
680,246,1995,4.2,26215.0,134196.0
681,246,2005,2.8,38873.0,204431.0
682,246,2010,3.0,46181.0,247800.0
683,246,2015,0.1,42405.0,232465.0
684,246,2016,2.5,43439.0,239052.0
685,246,2017,2.8,45670.0,252247.0
686,250,1985,1.6,9737.0,553143.0
687,250,1995,2.1,26707.0,1600997.0
688,250,2005,1.7,34724.0,2196071.0
689,250,2010,1.9,40565.0,2642610.0
690,250,2015,1.1,36574.0,2438208.0
691,250,2016,1.2,36822.0,2465134.0
692,250,2017,2.2,38415.0,2582492.0
693,258,1985,5.4,9795.0,1716.0
694,258,1995,0.5,20542.0,4421.0
695,258,2005,1.4,22374.0,5703.0
696,258,2010,-2.5,22704.0,6081.0
697,258,2015,1.3,18950.0,5262.0
698,258,2016,1.5,19156.0,5368.0
699,258,2017,2.3,19807.0,5606.0
700,266,1985,-2.3,5589.0,4639.0
701,266,1995,5.0,5081.0,5519.0
702,266,2005,1.1,6827.0,9579.0
703,266,2010,7.1,8754.0,14359.0
704,266,2015,3.9,7446.0,14372.0
705,266,2016,2.1,7068.0,13992.0
706,266,2017,1.1,7221.0,14623.0
707,270,1985,3.4,1352.0,990.0
708,270,1995,0.9,1115.0,1189.0
709,270,2005,-0.9,654.0,944.0
710,270,2010,6.5,851.0,1441.0
711,270,2015,5.9,705.0,1394.0
712,270,2016,0.4,708.0,1442.0
713,270,2017,4.6,709.0,1489.0
714,268,1995,2.6,539.0,2703.0
715,268,2005,9.6,1429.0,6411.0
716,268,2010,6.2,2750.0,11638.0
717,268,2015,2.9,3541.0,13993.0
718,268,2016,2.8,3663.0,14378.0
719,268,2017,4.8,3875.0,15159.0
720,276,1985,2.3,9390.0,729751.0
721,276,1995,1.7,31898.0,2591447.0
722,276,2005,0.7,35035.0,2861339.0
723,276,2010,4.1,42241.0,3417095.0
724,276,2015,1.7,41384.0,3381389.0
725,276,2016,2.2,42668.0,3495163.0
726,276,2017,2.2,44976.0,3693204.0
727,288,1985,5.1,688.0,8743.0
728,288,1995,4.0,818.0,13714.0
729,288,2005,6.2,1057.0,22765.0
730,288,2010,7.9,1737.0,42587.0
731,288,2015,2.2,1783.0,49182.0
732,288,2016,3.4,1950.0,55010.0
733,288,2017,8.1,2046.0,58996.0
734,300,1985,2.5,4794.0,47816.0
735,300,1995,2.1,12687.0,136886.0
736,300,2005,0.6,21925.0,247777.0
737,300,2010,-5.5,26154.0,299362.0
738,300,2015,-0.4,17525.0,196591.0
739,300,2016,-0.2,17456.0,195222.0
740,300,2017,1.5,18198.0,203086.0
741,304,1985,3.7,8482.0,451.0
742,304,1995,3.7,23671.0,1321.0
743,304,2005,5.0,32481.0,1850.0
744,304,2010,1.7,44196.0,2503.0
